player_api_id,potential,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,id
505942,71,1,1,49,44,71,61,44,51,45,39,64,49,60,64,59,47,65,55,58,54,76,35,71,70,45,54,48,65,69,69,6,11,10,8,8,1
155782,76,2,1,80,53,58,71,40,73,70,69,68,71,79,78,78,67,90,71,85,79,56,62,68,67,60,66,59,76,75,78,14,7,9,9,12,1
162549,67,1,1,64,58,60,66,52,66,67,63,62,67,77,74,85,51,92,61,65,66,71,57,60,55,64,68,61,23,22,24,16,11,12,9,13,1
30572,69,1,1,57,21,68,65,48,56,38,40,61,62,33,34,62,57,41,59,71,49,90,29,70,62,26,54,37,72,71,68,15,12,13,12,11,1
23780,70,1,1,46,34,73,65,33,47,42,25,58,58,33,31,41,68,52,48,67,60,75,26,66,68,29,41,45,75,73,71,8,6,16,12,11,1
27316,77,1,1,77,72,64,79,77,78,77,76,70,79,75,69,76,80,72,76,65,75,65,76,59,55,77,76,81,28,34,35,15,12,7,16,15,1
564793,74,1,2,48,32,47,64,34,54,56,40,64,63,69,67,60,61,80,53,71,68,59,38,75,54,39,61,42,52,58,57,8,13,14,14,15,1
30895,77,2,1,78,66,28,76,68,84,63,55,54,81,89,89,93,74,92,62,71,75,56,57,57,37,71,73,62,30,34,35,14,7,7,16,11,1
528212,56,1,1,12,15,16,23,14,15,14,18,18,22,15,26,31,45,24,26,38,18,44,12,21,19,14,15,41,15,15,12,53,41,39,51,53,1
101042,69,1,1,63,42,59,70,60,70,72,67,53,74,75,77,69,70,72,67,70,78,66,61,73,67,65,71,56,67,68,65,7,15,7,10,15,1
23889,68,1,2,26,53,76,73,32,64,44,66,67,64,49,67,55,67,59,47,75,67,71,25,70,71,58,53,34,67,73,72,7,5,13,13,13,1
231592,78,1,1,74,69,46,79,65,73,73,78,79,73,69,71,71,66,67,70,72,83,64,72,75,63,73,81,73,56,65,62,11,8,12,11,12,1
163222,70,1,2,48,23,65,58,25,46,21,24,56,48,68,69,49,62,53,37,71,55,82,24,65,59,21,31,74,59,61,54,8,11,6,6,7,1
40719,71,1,1,64,67,54,64,61,75,66,68,56,76,82,78,82,66,84,74,70,67,51,72,45,45,70,62,67,36,31,37,14,13,9,15,10,1
75489,85,2,2,75,75,58,83,79,81,70,70,80,82,69,69,77,82,75,81,65,92,69,75,74,69,83,81,75,62,74,68,6,11,5,10,8,1
597948,63,1,1,55,52,43,55,42,53,45,43,52,52,65,66,70,53,62,54,52,55,37,52,49,30,52,55,55,43,47,45,11,13,8,14,9,1
161644,68,2,1,62,26,59,62,25,66,57,58,47,62,72,74,75,62,68,59,71,81,70,30,65,55,49,50,40,53,64,64,9,11,12,8,9,1
23499,65,1,1,49,67,78,68,56,49,43,42,39,65,51,53,44,67,52,69,70,53,82,47,77,24,67,68,73,23,20,19,12,13,10,10,9,1
120919,75,2,1,70,77,63,75,77,78,69,63,68,78,79,77,81,74,77,78,58,74,62,74,39,40,78,70,85,26,27,24,7,10,8,15,10,1
46447,71,1,1,41,33,74,57,24,30,35,40,45,44,60,61,59,58,73,48,75,64,71,39,71,58,28,61,39,62,61,57,15,14,13,10,12,1
167027,75,1,1,74,64,61,76,63,76,76,78,75,78,73,76,80,75,72,71,68,63,68,70,70,36,71,74,71,35,42,33,11,7,6,16,7,1
245653,69,1,1,47,29,65,57,36,47,27,45,55,52,62,67,65,64,59,57,64,65,65,37,67,59,23,52,42,64,65,62,11,5,15,10,10,1
128456,75,1,1,65,17,66,64,24,51,23,23,56,63,68,66,50,68,59,59,73,64,74,38,85,72,48,52,32,75,76,77,9,11,10,8,9,1
42664,67,1,1,65,61,65,68,70,70,64,63,53,71,71,77,67,69,61,69,64,61,79,69,61,25,67,50,68,29,32,31,10,6,11,6,7,1
425950,69,1,1,49,56,47,56,64,73,52,48,53,64,71,70,73,67,63,57,66,47,43,53,36,28,52,46,58,36,32,30,7,14,14,13,14,1
38423,70,1,1,60,50,60,74,47.82044982,74,51.88830089,53,62,73,74,70,64.17766018,63,63.71857872,64,66.3956719,71,64,55,63,69,70,56.28378378,47,52,50,48.06851257,7,20,62,20,20,1
3264,73,1,1,49,64,65,54,58,58,46,44,27,64,69,54,66,58,62,63,74,58,61,59,52,30,74,66,41,30,34,36,13,7,7,9,13,1
467485,72,1,1,42,52,39,64,40,72,67,45,56,67,75,78,82,62,72,48,65,62,53,52,40,23,46,64,46,32,33,40,8,13,8,15,8,1
306735,62,2,1,54,37,48,62,31,56,35,39,56,58,69,62,56,55,59,56,71,71,71,50,51,48,56,55,45,56,61,53,10,7,8,11,10,1
41659,63,1,1,57,53,58,69,57,59,69,68,66,64,65,67,71,67,70,67,57,62,57,61,58,47,63,67,57,47,39,37,8,15,16,9,11,1
31684,76,1,1,56,34,70,70,47.82044982,56,51.88830089,26,71,60,69,68,64.17766018,70,63.71857872,72,66.3956719,81,79,58,73,73,70,56.28378378,68,76,75,48.06851257,5,23,71,23,23,1
32637,65,1,1,42,60,54,52,47.82044982,51,51.88830089,42,35,60,74,77,64.17766018,52,63.71857872,71,66.3956719,61,71,59,30,52,57,56.28378378,66,22,27,48.06851257,7,20,35,20,20,1
563215,77,1,1,42,30,61,59,37,47,41,32,67,50,67,69,46,59,64,42,76,72,68,24,72,57,30,33,41,67,73,70,12,7,7,7,8,1
41093,70,1,1,62,63,60,77,62,75,66,49,74,75,73,69,76,68,69,66,51,61,63,61,56,64,57,72,48,63,64,61,8,14,15,11,9,1
564712,70,1,1,35,30,56,57,32,36,27,30,33,52,54,49,47,56,25,41,33,52,95,27,49,59,28,31,47,65,71,66,9,11,13,12,15,1
67334,73,1,1,67,70,50,71,46,74,55,53,59,73,84,88,74,62,62,71,71,77,67,53,64,44,68,64,53,42,47,43,12,15,14,11,6,1
173955,73,1,1,69,72,64,69,63,76,69,49,64,73,85,84,78,65,74,76,71,72,70,70,68,26,71,74,52,20,29,27,11,16,13,12,16,1
39562,75,2,1,75,50,66,78,65,71,68,57,74,74,79,79,79,76,72,71,76,69,75,64,73,77,68,57,50,70,75,74,12,15,10,11,14,1
191784,77,0,1,35,22,81,58,30,35,36,59,42,53,40,53,34,63,31,58,73,64,83,50,81,70,25,40,68,74,76,71,11,12,12,15,15,1
210400,71,1,1,67,28,61,64,49,52,58,49,60,63,80,77,81,67,62,50,74,80,71,53,63,67,22,57,38,65,68,68,14,13,8,7,8,1
201915,76,2,1,67,80,66,69,69,68,53,49,63,61,90,91,87,73,81,70,79,78,58,63,51,43,78,66,63,43,44,46,12,14,8,7,9,1
194479,75,1,1,64,69,68,75,69,76,64,72,67,75,74,76,74,73,60,73,71,71,74,72,54,49,66,71,68,44,36,24,8,14,14,8,13,1
